,precision,recall,f1-score,support
battery,0.9685863874345549,0.9788359788359788,0.9736842105263158,189.0
biological,0.9507389162561576,0.9796954314720813,0.965,197.0
brown-glass,0.952,0.9834710743801653,0.967479674796748,121.0
cardboard,0.9661016949152542,0.9606741573033708,0.9633802816901409,178.0
clothes,0.995260663507109,0.9859154929577465,0.9905660377358491,1065.0
green-glass,0.8714285714285714,0.9682539682539683,0.9172932330827067,126.0
metal,0.8622754491017964,0.935064935064935,0.897196261682243,154.0
paper,0.9597989949748744,0.9095238095238095,0.9339853300733496,210.0
plastic,0.9254658385093167,0.861271676300578,0.8922155688622755,173.0
shoes,0.9698492462311558,0.9772151898734177,0.9735182849936949,395.0
trash,0.9852941176470589,0.9640287769784173,0.9745454545454545,139.0
white-glass,0.9133333333333333,0.8838709677419355,0.898360655737705,155.0
accuracy,0.9609929078014184,0.9609929078014184,0.9609929078014184,0.9609929078014184
macro avg,0.9433444344449319,0.9489851215572004,0.9456020828105401,3102.0
weighted avg,0.9617459385902664,0.9609929078014184,0.9610302074658735,3102.0
