,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,185,0,0,0,0,0,3,1,0,0,0,0
biological,0,193,0,0,0,3,0,0,0,0,0,1
brown-glass,0,0,119,0,0,0,1,0,0,0,0,1
cardboard,0,1,0,171,0,0,1,5,0,0,0,0
clothes,1,0,1,1,1050,0,1,0,0,11,0,0
green-glass,1,1,0,0,0,122,0,0,0,0,0,2
metal,1,0,1,0,0,2,144,1,2,0,0,3
paper,2,5,0,5,0,1,2,191,2,0,1,1
plastic,0,0,1,0,1,8,7,1,149,0,1,5
shoes,0,0,1,0,4,2,0,0,2,386,0,0
trash,1,1,1,0,0,0,0,0,1,1,134,0
white-glass,0,2,1,0,0,2,8,0,5,0,0,137
