epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8660275340080261,0.6682637929916382,0.9422953128814697,0.21196968853473663,0.0010000000474974513
2,0.9314428567886353,0.3009922206401825,0.9516441226005554,0.16328689455986023,0.0010000000474974513
3,0.9448964595794678,0.24013389647006989,0.9590586423873901,0.1437448114156723,0.0010000000474974513
4,0.950294017791748,0.2102765589952469,0.9619600176811218,0.13296957314014435,0.0010000000474974513
5,0.9525497555732727,0.19135940074920654,0.9629271626472473,0.12609592080116272,0.0010000000474974513
6,0.9572222828865051,0.17284154891967773,0.9655061364173889,0.11941342055797577,0.0010000000474974513
7,0.8994602560997009,0.33739545941352844,0.9464861154556274,0.19166500866413116,9.999999747378752e-06
8,0.9211310744285583,0.27725356817245483,0.9539006948471069,0.1724863499403,9.999999747378752e-06
9,0.929106593132019,0.24986261129379272,0.9555125832557678,0.15721431374549866,9.999999747378752e-06
10,0.939821183681488,0.22184617817401886,0.9590586423873901,0.14635306596755981,9.999999747378752e-06
11,0.9432047009468079,0.20705294609069824,0.9593810439109802,0.1391478031873703,9.999999747378752e-06
12,0.946668803691864,0.1881515234708786,0.9609929323196411,0.13259533047676086,9.999999747378752e-06
